gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
LRRC29,0.20044731818278433,0.49169542632169955,1.1873554621710463,0.2704584333411358,0.354419615014205,-6.332393264368026
MED27,0.08543525533921059,4.406867428792731,1.1873297255344,0.27046800039429075,0.354419615014205,-7.183501071965767
ANKRD16,0.1305184661462624,3.064823333000465,1.1865901556373932,0.2707430392422897,0.35472689755172415,-6.81624465144733
NDST1,0.07936785863841411,7.89956266941261,1.1859312943601092,0.2709882575959023,0.3550216006341764,-7.457344954911289
SIRT7,0.09244602635856225,3.7300181118891462,1.1855197535256405,0.2711415198704921,0.35514262396809443,-6.997394760387277
SLC11A2,0.06727408749680652,6.02135320190818,1.1850431925072944,0.27131908565440693,0.3553220086713416,-7.4343374835949945
APOL1,0.3072069299135015,0.6778508341311293,1.1848309923448312,0.2713981818953764,0.35539899610769976,-6.365819132837022
HMGN2P46,0.28231290101325207,0.15739827401470294,1.1840823622076406,0.27167738076491693,0.3557113719420338,-6.280733838919037
WEE2,0.4859702719839907,-1.3300234869843763,1.1837232737490326,0.2718113854650882,0.355833577785111,-6.047421389772733
MED21,0.07403312722558386,4.507166202155325,1.1836051551266809,0.2718554768977667,0.3558646761096663,-7.213092835598687
ANKRA2,0.10017502451969484,4.27752383536469,1.1829931752168132,0.27208401171161944,0.35613719208180333,-7.154151699126169
UBN2,0.14952518473967746,5.783271582845503,1.1821896473138134,0.2723843175678754,0.3564769406267483,-7.42147165168488
ALG13,0.06849151222809091,5.9491871069982505,1.1794299458168291,0.27341779138565414,0.3577224621650513,-7.436370481105644
SLC22A31,0.1528186325630294,2.4629674790816978,1.1791659418103049,0.2735168264835517,0.357825280101351,-6.683791314966494
RP11-111M22.2,0.13915047743440478,3.6790771937410467,1.1784793211515858,0.27377453479158753,0.3580553500985045,-6.99099540359707
DHX58,0.3269017132054175,-1.4322975344984894,1.1782118823131367,0.2738749662418643,0.3581458370810676,-6.0384701672378425
GOLGA6L22,0.2874024252718653,-0.019409513756751477,1.1781860842659202,0.27388465579855115,0.3581458370810676,-6.258200064890944
